CustomerID,Name,Gender,DOB,City,Occupation,KYC,Segment
C00058,Cust58,M,1966-10-12,Guwahati,Professional,Y,HNI
C00059,Cust59,M,1987-06-08,Guwahati,Professional,Y,HNI
C00060,Cust60,F,1966-12-29,Guwahati,Business,Y,Retail
C00061,Cust61,M,1995-11-09,Agartala,Business,Y,Premium
C00062,Cust62,M,1997-01-21,Kolkata,Salaried,Y,Premium
C00063,Cust63,M,1973-02-20,Guwahati,Business,Y,HNI
C00064,Cust64,F,1971-08-20,Guwahati,Professional,Y,Retail
C00065,Cust65,M,2000-10-26,Delhi,Professional,Y,HNI
C00066,Cust66,F,1997-02-06,Guwahati,Business,Y,HNI
C00067,Cust67,M,1983-06-26,Guwahati,Salaried,Y,Premium
C00068,Cust68,M,1987-04-19,Agartala,Business,Y,Retail
C00069,Cust69,M,1981-03-28,Guwahati,Salaried,Y,HNI
C00070,Cust70,M,1974-08-15,Guwahati,Professional,Y,Retail
C00071,Cust71,M,1971-02-23,Kolkata,Govt,Y,Retail
C00072,Cust72,M,1982-10-10,Mumbai,Salaried,Y,Retail
C00073,Cust73,F,1974-08-09,Guwahati,Business,Y,HNI
C00074,Cust74,F,1980-04-16,Guwahati,Professional,Y,HNI
C00075,Cust75,M,1991-05-13,Guwahati,Govt,Y,HNI
C00076,Cust76,M,1997-09-05,Mumbai,Business,Y,Premium
C00077,Cust77,M,1977-08-07,Mumbai,Govt,Y,Retail
C00078,Cust78,M,1979-03-19,Agartala,Business,Y,HNI
C00079,Cust79,F,1995-03-02,Agartala,Business,Y,HNI
C00080,Cust80,F,1966-05-31,Delhi,Business,Y,Premium
C00081,Cust81,M,1993-06-29,Agartala,Professional,Y,Premium
C00082,Cust82,M,1989-12-15,Kolkata,Business,Y,HNI
C00083,Cust83,F,1983-02-16,Mumbai,Govt,Y,Premium
C00084,Cust84,M,1975-12-30,Delhi,Salaried,Y,HNI
C00085,Cust85,F,1960-11-15,Delhi,Professional,Y,Premium
C00086,Cust86,M,1977-03-29,Delhi,Govt,Y,HNI
C00087,Cust87,M,1965-01-22,Kolkata,Salaried,Y,Retail
C00088,Cust88,F,1972-03-13,Agartala,Business,Y,Premium
C00089,Cust89,M,1996-10-09,Mumbai,Govt,Y,Premium
C00090,Cust90,M,1984-01-26,Guwahati,Professional,Y,HNI
C00091,Cust91,F,1964-01-05,Delhi,Salaried,Y,HNI
C00092,Cust92,M,1979-01-29,Agartala,Govt,Y,Retail
C00093,Cust93,M,1995-12-16,Delhi,Salaried,Y,HNI
C00094,Cust94,M,1962-12-27,Delhi,Salaried,Y,Premium
C00095,Cust95,M,1975-03-19,Guwahati,Professional,Y,Premium
C00096,Cust96,M,1961-12-08,Guwahati,Business,Y,Retail
C00097,Cust97,M,1971-09-30,Agartala,Business,Y,Retail
C00098,Cust98,F,1988-03-14,Delhi,Business,Y,Premium
C00099,Cust99,F,1982-06-07,Kolkata,Govt,Y,Premium
C00100,Cust100,M,1971-03-27,Agartala,Salaried,Y,Retail
C00101,Cust101,M,1983-01-25,Mumbai,Business,Y,Premium
C00102,Cust102,M,1989-07-12,Mumbai,Professional,Y,HNI
C00103,Cust103,F,1982-09-23,Delhi,Business,Y,Retail
C00104,Cust104,F,1968-11-28,Kolkata,Professional,Y,Premium
C00105,Cust105,M,1997-07-18,Kolkata,Salaried,Y,Retail
C00106,Cust106,F,1979-04-28,Kolkata,Salaried,Y,Retail
C00107,Cust107,F,1999-01-18,Guwahati,Govt,Y,HNI
C00108,Cust108,M,1991-01-26,Delhi,Salaried,Y,Premium
C00109,Cust109,M,1967-01-25,Delhi,Professional,Y,Retail
C00110,Cust110,F,1976-05-02,Delhi,Govt,Y,Retail
C00111,Cust111,M,1999-08-01,Delhi,Business,Y,Premium
C00112,Cust112,M,1960-01-18,Delhi,Professional,Y,Retail
C00113,Cust113,F,1972-07-05,Guwahati,Business,Y,Retail
C00114,Cust114,M,1964-01-28,Delhi,Salaried,Y,Retail
C00115,Cust115,F,1986-04-28,Agartala,Professional,Y,Retail
C00116,Cust116,F,1973-08-24,Kolkata,Salaried,Y,HNI
C00117,Cust117,M,1989-06-30,Guwahati,Professional,Y,Premium
C00118,Cust118,F,1966-09-14,Delhi,Business,Y,Retail
C00119,Cust119,F,1992-12-01,Guwahati,Business,Y,HNI
C00120,Cust120,M,1997-01-25,Guwahati,Business,Y,Retail
C00121,Cust121,M,1961-11-16,Kolkata,Govt,Y,Retail
C00122,Cust122,F,1997-06-29,Mumbai,Salaried,Y,HNI
C00123,Cust123,M,1988-02-03,Guwahati,Business,Y,Premium
C00124,Cust124,F,1960-02-24,Mumbai,Salaried,Y,HNI
C00125,Cust125,M,1989-07-28,Guwahati,Salaried,Y,HNI
C00126,Cust126,F,1971-04-24,Agartala,Govt,Y,Retail
C00127,Cust127,M,1970-05-08,Mumbai,Professional,Y,Premium
C00128,Cust128,M,1981-06-27,Delhi,Salaried,Y,HNI
C00129,Cust129,M,1963-06-23,Guwahati,Business,Y,Premium
C00130,Cust130,F,1989-03-23,Delhi,Business,Y,Retail
C00131,Cust131,F,1962-09-20,Mumbai,Govt,Y,HNI
C00132,Cust132,M,1991-01-18,Kolkata,Professional,Y,Premium
C00133,Cust133,F,1980-11-04,Mumbai,Professional,Y,Retail
C00134,Cust134,M,1973-12-24,Agartala,Professional,Y,Retail
C00135,Cust135,F,1980-08-02,Agartala,Professional,Y,Premium
C00136,Cust136,F,1969-05-30,Kolkata,Salaried,Y,HNI
C00137,Cust137,M,1966-05-11,Guwahati,Govt,Y,Premium
C00138,Cust138,M,1987-01-24,Guwahati,Govt,Y,Retail
C00139,Cust139,F,1970-05-18,Mumbai,Professional,Y,Premium
C00140,Cust140,M,1967-02-19,Agartala,Professional,Y,HNI
C00141,Cust141,F,1978-03-09,Delhi,Business,Y,Premium
C00142,Cust142,F,1976-11-14,Delhi,Salaried,Y,Premium
C00143,Cust143,M,1974-07-23,Delhi,Professional,Y,Retail
C00144,Cust144,M,1991-12-26,Agartala,Govt,Y,Premium
C00145,Cust145,F,1962-11-30,Mumbai,Professional,Y,HNI
C00146,Cust146,M,1976-03-06,Mumbai,Govt,Y,Retail
C00147,Cust147,F,1964-07-24,Agartala,Govt,Y,HNI
C00148,Cust148,M,1971-03-08,Delhi,Professional,Y,HNI
C00149,Cust149,F,1968-07-07,Delhi,Professional,Y,Retail
C00150,Cust150,F,2000-12-21,Guwahati,Business,Y,HNI
C00151,Cust151,M,1962-03-21,Mumbai,Professional,Y,HNI
C00152,Cust152,M,1988-11-28,Delhi,Professional,Y,Retail
C00153,Cust153,M,1967-08-29,Mumbai,Professional,Y,Premium
C00154,Cust154,F,1973-05-10,Delhi,Govt,Y,Premium
C00155,Cust155,M,1973-06-29,Mumbai,Professional,Y,Retail
C00156,Cust156,M,1988-11-07,Kolkata,Salaried,Y,Retail
C00157,Cust157,F,1984-09-08,Kolkata,Professional,Y,Premium
C00158,Cust158,F,1979-03-04,Kolkata,Business,Y,Retail
C00159,Cust159,M,1967-11-02,Delhi,Salaried,Y,Premium
C00160,Cust160,M,1976-07-09,Delhi,Business,Y,Retail
C00161,Cust161,F,1977-03-04,Mumbai,Business,Y,Premium
C00162,Cust162,F,1975-03-04,Agartala,Professional,Y,Premium
C00163,Cust163,F,1965-08-24,Guwahati,Business,Y,Retail
C00164,Cust164,F,2000-03-24,Kolkata,Professional,Y,Premium
C00165,Cust165,F,1979-05-16,Delhi,Salaried,Y,Retail
C00166,Cust166,M,1979-01-27,Mumbai,Professional,Y,Retail
C00167,Cust167,M,1977-07-24,Guwahati,Professional,Y,Premium
C00168,Cust168,M,1995-02-16,Agartala,Business,Y,Retail
C00169,Cust169,M,1983-06-07,Agartala,Professional,Y,Retail
C00170,Cust170,M,1960-01-23,Kolkata,Business,Y,HNI
C00171,Cust171,M,1988-12-14,Delhi,Business,Y,HNI
C00172,Cust172,F,1983-09-11,Mumbai,Salaried,Y,Retail
C00173,Cust173,M,1973-06-21,Guwahati,Business,Y,Premium
C00174,Cust174,F,1970-01-11,Guwahati,Salaried,Y,Retail
C00175,Cust175,F,1980-08-30,Delhi,Govt,Y,HNI
C00176,Cust176,M,1981-04-27,Guwahati,Business,Y,HNI
C00177,Cust177,M,1961-04-24,Mumbai,Govt,Y,Retail
C00178,Cust178,M,1968-09-15,Mumbai,Professional,Y,Retail
C00179,Cust179,F,1970-03-21,Mumbai,Govt,Y,Retail
C00180,Cust180,F,1961-07-12,Delhi,Professional,Y,Premium
C00181,Cust181,F,1968-11-19,Agartala,Govt,Y,HNI
C00182,Cust182,M,1969-03-16,Mumbai,Business,Y,Premium
C00183,Cust183,M,1970-05-09,Mumbai,Business,Y,Premium
C00184,Cust184,F,1964-11-20,Guwahati,Professional,Y,HNI
C00185,Cust185,M,2000-03-18,Kolkata,Professional,Y,Premium
C00186,Cust186,M,1986-09-06,Kolkata,Professional,Y,Retail
C00187,Cust187,M,1961-01-22,Guwahati,Business,Y,Premium
C00188,Cust188,M,1991-11-04,Agartala,Business,Y,Premium
C00189,Cust189,F,2000-04-15,Delhi,Salaried,Y,Retail
C00190,Cust190,M,1974-10-08,Kolkata,Business,Y,HNI
C00191,Cust191,F,1961-06-06,Delhi,Professional,Y,Premium
C00192,Cust192,F,1979-11-05,Kolkata,Salaried,Y,Retail
C00193,Cust193,M,1972-07-20,Agartala,Govt,Y,Premium
C00194,Cust194,M,1985-03-03,Kolkata,Professional,Y,Premium
C00195,Cust195,F,1996-11-14,Mumbai,Salaried,Y,Retail
C00196,Cust196,F,1968-10-11,Delhi,Professional,Y,Retail
C00197,Cust197,F,1976-05-03,Mumbai,Salaried,Y,HNI
C00198,Cust198,F,1971-02-15,Mumbai,Salaried,Y,Premium
C00199,Cust199,M,1980-10-25,Agartala,Salaried,Y,Premium
C00200,Cust200,M,1993-07-09,Agartala,Govt,Y,Premium
